,Date,Open,High,Low,Close,Volume,OpenInt,Name
82535,20190911,1.6480000000000001,1.65,1.62,1.6480000000000001,8277,0,wse
82536,20190912,1.57,1.6,1.4240000000000002,1.474,275222,0,wse
82537,20190913,1.452,1.46,1.062,1.062,1530085,0,wse
82538,20190916,1.01,1.192,1.0,1.16,723318,0,wse
82539,20190917,1.16,1.176,1.08,1.0979999999999999,150991,0,wse
82540,20190918,1.092,1.1,0.983,1.034,434372,0,wse
82541,20190919,1.03,1.128,1.002,1.052,366627,0,wse
82542,20190920,1.04,1.08,1.0,1.034,148059,0,wse
82543,20190923,1.03,1.07,1.01,1.01,59204,0,wse
82544,20190924,1.01,1.058,1.01,1.024,29407,0,wse
82545,20190925,1.036,1.036,1.004,1.006,52332,0,wse
82546,20190926,1.006,1.038,1.006,1.02,37949,0,wse
82547,20190927,1.038,1.038,0.935,0.98,159289,0,wse
82548,20190930,0.98,0.98,0.831,0.9,163776,0,wse
82549,20191001,0.89,0.89,0.802,0.86,342595,0,wse
82550,20191002,0.853,0.853,0.78,0.78,286179,0,wse
82551,20191003,0.78,0.826,0.76,0.81,275689,0,wse
82552,20191004,0.818,0.8690000000000001,0.8,0.82,238315,0,wse
82553,20191007,0.81,0.8340000000000001,0.802,0.8190000000000001,24003,0,wse
82554,20191008,0.826,0.838,0.81,0.821,19948,0,wse
82555,20191009,0.8320000000000001,1.04,0.83,1.02,626638,0,wse
82556,20191010,1.048,1.11,0.9840000000000001,1.05,490972,0,wse
82557,20191011,1.026,1.058,0.938,0.9440000000000001,248428,0,wse
82558,20191014,0.9420000000000001,1.056,0.9420000000000001,0.9840000000000001,413834,0,wse
82559,20191015,1.014,1.178,1.01,1.1440000000000001,958135,0,wse
82560,20191016,1.17,1.18,1.05,1.05,429381,0,wse
82561,20191017,1.078,1.12,0.976,1.05,582350,0,wse
82562,20191018,1.068,1.15,0.996,1.062,983342,0,wse
82563,20191021,1.0959999999999999,1.14,1.012,1.09,259236,0,wse
82564,20191022,1.078,1.092,1.036,1.074,253806,0,wse
82565,20191023,1.044,1.074,1.01,1.04,98840,0,wse
82566,20191024,1.04,1.04,0.99,1.03,197011,0,wse
82567,20191025,1.03,1.036,0.9520000000000001,0.9520000000000001,134663,0,wse
82568,20191028,0.997,0.997,0.95,0.968,66281,0,wse
82569,20191029,0.956,0.956,0.912,0.92,85977,0,wse
82570,20191030,0.92,0.968,0.73,0.73,863133,0,wse
82571,20191031,0.73,0.73,0.61,0.6509999999999999,1738861,0,wse
82572,20191104,0.6609999999999999,0.726,0.6,0.6,552992,0,wse
82573,20191105,0.614,0.67,0.611,0.639,353737,0,wse
82574,20191106,0.6859999999999999,0.6859999999999999,0.635,0.657,482840,0,wse
82575,20191107,0.657,0.66,0.631,0.648,221413,0,wse
82576,20191108,0.65,0.69,0.631,0.632,547985,0,wse
82577,20191112,0.64,0.6759999999999999,0.629,0.6459999999999999,251794,0,wse
82578,20191113,0.655,0.66,0.614,0.625,269179,0,wse
82579,20191114,0.624,0.625,0.59,0.603,381143,0,wse
82580,20191115,0.604,0.614,0.603,0.613,56437,0,wse
82581,20191118,0.614,0.638,0.61,0.617,69617,0,wse
82582,20191119,0.62,0.62,0.5720000000000001,0.58,224047,0,wse
82583,20191120,0.58,0.609,0.57,0.5710000000000001,241908,0,wse
82584,20191121,0.5710000000000001,0.5710000000000001,0.514,0.539,532261,0,wse
82585,20191122,0.535,0.55,0.5,0.52,547558,0,wse
82586,20191125,0.52,0.52,0.475,0.49,493961,0,wse
82587,20191126,0.479,0.52,0.456,0.47,1114632,0,wse
